tenure,Churn_flag,MonthlyCharges,SeniorCitizen,Contract_OneYear,Contract_TwoYear,InternetService_Fiber,OnlineSecurity_Yes,TechSupport_Yes,PaperlessBilling_Yes,Contract,MonthlyCharges_x_logT,TechSupport_x_logT
2,0,49.25,0,0,0,0,0,0,0,Month-to-month,34.137498642577306,0.0
2,1,80.65,0,0,0,1,0,0,1,Month-to-month,55.90232011215959,0.0
52,0,79.75,0,0,1,0,1,1,1,Two year,315.11168655686885,3.9512437185814275
69,0,64.15,0,0,1,0,1,1,1,Two year,271.6179322699142,4.23410650459726
43,0,90.25,1,0,0,1,0,0,1,Month-to-month,339.448310441344,0.0
15,1,99.1,0,0,0,1,1,0,1,Month-to-month,268.36777492922903,0.0
25,0,69.5,1,0,0,0,1,1,1,Month-to-month,223.71186982833993,3.2188758248682006
8,1,80.65,1,0,0,1,0,0,1,Month-to-month,167.70696033647877,0.0
60,0,74.85,1,1,0,0,1,1,1,One year,306.4616904823242,4.0943445622221
18,1,95.45,1,0,0,1,0,0,1,Month-to-month,275.8859842911889,0.0
63,0,99.65,0,1,0,1,1,0,1,One year,412.8633754849162,0.0
66,0,108.45,1,1,0,1,0,1,1,One year,454.36805677276584,4.189654742026425
34,0,24.95,0,0,1,0,0,0,0,Two year,87.98269508917323,0.0
72,0,107.5,0,0,1,1,0,1,1,Two year,459.74160779422596,4.276666119016055
47,0,100.5,0,0,0,1,0,0,1,Month-to-month,386.9398339718609,0.0
60,0,89.9,0,0,0,1,0,0,1,Month-to-month,368.0815761437668,0.0
72,0,42.1,0,0,1,0,1,0,0,Two year,180.04764361057593,0.0
18,0,54.4,0,1,0,0,0,1,1,One year,157.23622362955135,2.8903717578961645
9,1,94.4,0,0,0,1,0,0,0,Month-to-month,207.41800010053913,0.0
3,0,75.3,0,0,0,0,0,1,1,Month-to-month,82.72550533670866,1.0986122886681098
47,0,78.9,0,1,0,1,0,0,1,One year,303.7766457749236,0.0
31,0,79.2,0,0,1,0,0,1,0,Two year,271.9717865952236,3.4339872044851463
50,0,20.15,0,0,1,0,0,0,0,Two year,78.82726355937713,0.0
10,0,79.85,0,0,0,1,1,0,1,Month-to-month,183.86141967557455,0.0
1,0,49.05,0,0,0,0,0,1,0,Month-to-month,0.0,0.0
52,0,20.4,0,1,0,0,0,0,1,One year,80.60537185906112,0.0
64,0,111.6,1,0,1,1,1,1,1,Two year,464.13135210293933,4.1588830833596715
62,0,24.25,0,0,1,0,0,0,1,Two year,100.08300883734347,0.0
3,0,64.5,0,0,0,0,1,1,1,Month-to-month,70.86049261909308,1.0986122886681098
56,0,110.5,1,1,0,1,1,0,0,One year,444.80136182623403,0.0
46,0,55.65,0,1,0,0,0,0,0,One year,213.06389371461813,0.0
8,0,54.65,0,0,0,0,1,0,0,Month-to-month,113.64148025280302,0.0
30,0,74.75,1,0,0,0,1,0,1,Month-to-month,254.23950427924612,0.0
45,0,25.9,0,1,0,0,0,0,1,One year,98.59255848505127,0.0
1,1,79.35,0,0,0,1,0,0,1,Month-to-month,0.0,0.0
11,0,50.55,0,0,0,0,1,0,0,Month-to-month,121.21360603995763,0.0
7,1,75.15,0,0,0,1,0,0,1,Month-to-month,146.2351477015068,0.0
42,0,103.8,0,0,0,1,0,1,1,Month-to-month,387.97010637781364,3.7376696182833684
49,0,20.15,0,0,1,0,0,0,1,Two year,78.42017900692912,0.0
9,0,99.3,0,0,0,1,0,0,1,Month-to-month,218.1844005294866,0.0
35,0,62.15,0,1,0,0,1,0,1,One year,220.96488202156704,0.0
48,0,20.65,0,0,1,0,0,0,0,Two year,79.94030087524794,0.0
46,0,19.95,0,0,1,0,0,0,1,Two year,76.38139585995745,0.0
29,0,33.75,0,0,0,0,0,0,0,Month-to-month,113.6462342620435,0.0
30,0,82.05,0,0,0,1,0,0,0,Month-to-month,279.06824516537984,0.0
1,0,74.7,1,0,0,1,0,1,0,Month-to-month,0.0,0.0
66,0,84.0,0,0,1,0,1,1,1,Two year,351.9309983302197,4.189654742026425
65,0,111.05,0,0,0,1,1,0,1,Month-to-month,463.56570632191045,0.0
72,0,100.9,0,0,1,1,0,0,1,Two year,431.51561140872,0.0
12,1,78.95,0,0,0,1,1,0,1,Month-to-month,196.18338000076264,0.0
71,0,66.85,0,1,0,0,1,1,1,One year,284.9601497802119,4.2626798770413155
5,1,21.05,0,0,0,0,0,0,0,Month-to-month,33.878668056737816,0.0
52,0,21.0,0,0,1,0,0,0,0,Two year,82.97611809020998,0.0
25,1,98.5,1,0,0,1,0,0,1,Month-to-month,317.05926874951774,0.0
1,0,20.2,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
1,0,19.45,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
38,0,95.0,0,1,0,1,0,1,0,One year,345.57068517400666,3.6375861597263857
66,0,45.55,1,1,0,0,0,0,0,One year,190.83877349930364,0.0
68,1,110.0,0,0,1,1,0,1,1,Two year,464.14584756937177,4.219507705176107
5,0,24.3,0,0,0,0,0,0,0,Month-to-month,39.10934127214864,0.0
72,0,104.15,0,1,0,1,1,0,1,One year,445.4147762955222,0.0
32,0,30.15,0,1,0,0,1,0,0,One year,104.49193746941175,0.0
43,0,94.35,0,1,0,1,0,0,0,One year,354.8692309156876,0.0
72,0,19.4,0,0,1,0,0,0,0,Two year,82.96732270891147,0.0
55,1,96.75,0,0,0,1,1,0,1,Month-to-month,387.70948567124157,0.0
52,0,57.95,0,1,0,0,1,1,0,One year,228.97457349179373,3.9512437185814275
43,0,91.65,0,0,0,1,0,0,1,Month-to-month,344.71399060331504,0.0
37,1,76.5,1,0,0,1,0,0,1,Month-to-month,276.23522031728317,0.0
64,0,54.6,0,0,1,0,0,1,1,Two year,227.07501635143808,4.1588830833596715
3,0,89.85,0,0,0,1,1,0,0,Month-to-month,98.71031413682965,0.0
36,0,31.05,0,0,1,0,1,0,0,Two year,111.26826303906222,0.0
10,1,100.25,0,0,0,1,1,0,1,Month-to-month,230.8341555726531,0.0
41,0,20.65,0,0,1,0,0,0,0,Two year,76.68526317744396,0.0
27,0,85.2,0,0,0,1,0,1,1,Month-to-month,280.8053009835688,3.295836866004329
56,0,99.8,0,1,0,1,0,0,1,One year,401.7300987353679,0.0
6,0,20.7,0,0,0,0,0,0,0,Month-to-month,37.08942101302074,0.0
3,1,74.4,0,0,0,1,0,0,1,Month-to-month,81.73675427690738,0.0
7,0,50.7,0,0,0,0,1,0,0,Month-to-month,98.65764455710439,0.0
4,0,20.85,0,0,0,0,0,0,0,Month-to-month,28.90423742934972,0.0
33,0,88.95,0,0,1,1,1,1,1,Two year,311.0143475924434,3.4965075614664802
27,1,78.05,1,0,0,1,0,0,1,Month-to-month,257.24006739163787,0.0
72,0,23.55,0,0,1,0,0,0,1,Two year,100.7154871028281,0.0
1,0,19.75,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
71,0,56.45,1,1,0,0,1,0,1,One year,240.62827905898226,0.0
13,0,85.95,0,0,0,1,0,0,1,Month-to-month,220.45739727381908,0.0
25,1,58.6,0,0,0,0,1,0,1,Month-to-month,188.62612333727657,0.0
67,0,50.55,0,0,1,0,0,1,0,Two year,212.5472119102133,4.204692619390966
1,1,35.45,0,0,0,0,0,0,1,Month-to-month,0.0,0.0
2,1,44.35,0,0,0,0,0,0,0,Month-to-month,30.741077457833576,0.0
43,0,25.7,0,0,1,0,0,0,1,Two year,96.66284297332454,0.0
23,0,75.0,0,0,0,1,1,0,1,Month-to-month,235.16206619468622,0.0
64,0,20.2,0,0,1,0,0,0,0,Two year,84.00943828386536,0.0
57,0,19.6,0,0,1,0,0,0,1,Two year,79.2438048495572,0.0
1,1,70.45,1,0,0,1,0,0,1,Month-to-month,0.0,0.0
72,0,88.05,1,0,1,0,1,1,1,Two year,376.56045177936363,4.276666119016055
8,1,71.15,0,0,0,0,1,1,0,Month-to-month,147.95226569052033,2.0794415416798357
61,0,101.05,0,0,1,1,0,0,1,Two year,415.4038039747131,0.0
64,0,84.3,0,1,0,1,1,0,1,One year,350.5938439272203,0.0
71,0,23.95,1,0,1,0,0,0,0,Two year,102.0911830551395,0.0
65,0,99.05,0,0,1,1,1,1,1,Two year,413.4730590831628,4.174387269895637
3,0,19.6,0,1,0,0,0,0,0,One year,21.532800857894955,0.0
1,1,45.65,0,0,0,0,0,0,1,Month-to-month,0.0,0.0
30,0,64.5,0,1,0,0,0,0,0,One year,219.37723111720902,0.0
15,0,69.5,0,0,0,0,0,1,1,Month-to-month,188.2094889766036,2.70805020110221
8,0,68.55,0,0,0,0,0,1,1,Month-to-month,142.54571768215274,2.0794415416798357
7,1,95.0,0,0,0,1,0,0,0,Month-to-month,184.86146416025477,0.0
70,0,108.15,0,1,0,1,1,0,1,One year,459.4747604276382,0.0
62,0,86.1,0,0,1,0,1,1,0,Two year,355.34627055238235,4.127134385045092
6,0,19.7,0,0,0,0,0,0,0,Month-to-month,35.29766154379268,0.0
14,0,80.9,0,0,0,1,0,0,1,Month-to-month,213.49973796587443,0.0
22,0,84.15,0,0,0,1,0,0,1,Month-to-month,260.11122245010233,0.0
22,0,20.15,0,1,0,0,0,0,0,One year,62.28450543517006,0.0
16,0,64.25,0,0,1,0,1,0,0,Two year,178.13882540390594,0.0
10,0,25.7,0,0,1,0,0,0,0,Two year,59.17643688994698,0.0
13,0,56.0,0,0,0,0,1,0,1,Month-to-month,143.63716401784606,0.0
20,1,82.4,0,0,0,1,1,0,0,Month-to-month,246.84833934084887,0.0
2,0,69.7,0,0,0,1,0,0,1,Month-to-month,48.31235848502819,0.0
53,0,73.9,0,0,1,0,0,1,1,Two year,293.4045724115018,3.970291913552122
11,0,20.6,0,1,0,0,0,0,0,One year,49.39664261964644,0.0
69,0,19.9,0,0,1,0,0,0,0,Two year,84.25871944148547,0.0
4,1,70.9,0,0,0,1,0,0,1,Month-to-month,98.28827020340024,0.0
72,0,89.05,0,0,1,0,1,1,1,Two year,380.8371178983797,4.276666119016055
58,1,45.3,1,0,0,0,0,0,1,Month-to-month,183.93806837775278,0.0
16,0,20.4,0,0,0,0,0,0,0,Month-to-month,56.56080993369153,0.0
43,0,84.25,0,1,0,1,1,1,1,One year,316.8811097471826,3.7612001156935624
2,1,104.4,0,0,0,1,0,1,1,Month-to-month,72.36456565045829,0.6931471805599453
14,0,81.95,0,0,1,0,0,1,0,Two year,216.27074816197043,2.6390573296152584
53,1,94.85,0,1,0,1,0,0,1,One year,376.58218800041874,0.0
32,0,20.55,0,1,0,0,0,0,0,One year,71.22087280253439,0.0
34,0,24.7,0,0,0,0,0,0,0,Month-to-month,87.10110495801919,0.0
15,1,74.45,1,0,0,1,0,0,1,Month-to-month,201.61433747205956,0.0
7,1,76.45,1,0,0,1,1,0,0,Month-to-month,148.7648308952787,0.0
15,0,105.35,0,0,0,1,0,0,1,Month-to-month,285.2930886861178,0.0
61,0,20.55,0,1,0,0,0,0,1,One year,84.47845790876156,0.0
1,1,29.95,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
1,0,45.3,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
8,1,84.5,0,0,0,1,0,0,0,Month-to-month,175.71281027194613,0.0
33,0,74.75,0,1,0,0,1,0,0,One year,261.3639402196194,0.0
13,1,79.25,0,0,0,1,0,0,1,Month-to-month,203.27223657882678,0.0
1,1,24.8,0,0,0,0,0,0,1,Month-to-month,0.0,0.0
20,0,51.8,0,0,0,0,0,0,1,Month-to-month,155.1789317700967,0.0
3,0,30.4,0,0,0,0,0,1,0,Month-to-month,33.39781357551053,1.0986122886681098
13,0,19.65,0,1,0,0,0,0,0,One year,50.401254874119196,0.0
40,0,56.6,0,0,0,0,0,0,0,Month-to-month,208.7905771028488,0.0
43,0,71.9,0,1,0,0,1,1,1,One year,270.43028831836716,3.7612001156935624
6,1,91.0,0,0,0,1,0,0,1,Month-to-month,163.050111699753,0.0
69,0,19.75,0,0,1,0,0,0,0,Two year,83.62360346579588,0.0
72,0,109.7,0,0,1,1,1,0,0,Two year,469.15027325606127,0.0
59,0,19.3,0,0,1,0,0,0,0,Two year,78.69647266738039,0.0
20,0,96.55,0,0,0,1,1,1,1,Month-to-month,289.2379510116378,2.995732273553991
24,0,24.1,0,0,1,0,0,0,1,Two year,76.5910973113855,0.0
59,0,111.35,0,0,0,1,0,1,1,Month-to-month,454.03379437890186,4.07753744390572
72,0,112.25,0,0,1,1,0,1,1,Two year,480.0557718595522,4.276666119016055
1,0,20.75,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
27,0,101.9,0,1,0,1,1,1,1,One year,335.84577664584117,3.295836866004329
14,0,80.05,0,0,0,1,0,1,1,Month-to-month,211.25653923570144,2.6390573296152584
71,0,105.55,0,0,1,1,1,0,0,Two year,449.92586102171083,0.0
13,0,78.3,0,0,0,1,0,0,1,Month-to-month,200.83553468923833,0.0
44,0,68.85,0,0,0,1,0,0,0,Month-to-month,260.54145629527227,0.0
33,0,79.95,0,1,0,1,0,1,1,One year,279.54577953924513,3.4965075614664802
72,0,55.45,0,0,1,0,1,1,1,Two year,237.1411362994403,4.276666119016055
1,1,79.9,0,0,0,1,0,0,0,Month-to-month,0.0,0.0
19,1,106.6,0,0,0,1,1,1,1,Month-to-month,313.8771951791425,2.9444389791664403
64,0,102.45,0,1,0,1,0,1,1,One year,426.0775718901983,4.1588830833596715
2,1,46.0,0,0,0,0,0,0,1,Month-to-month,31.884770305757485,0.0
1,0,25.25,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
61,0,19.75,0,0,1,0,0,0,0,Two year,81.1897588174229,0.0
29,0,20.0,0,1,0,0,0,0,0,One year,67.34591659972948,0.0
23,0,86.8,1,0,0,1,0,0,0,Month-to-month,272.1608979426502,0.0
57,0,58.75,0,0,0,0,1,0,1,Month-to-month,237.52926198527982,0.0
72,0,45.25,0,0,1,0,1,1,0,Two year,193.5191418854765,4.276666119016055
66,0,56.6,0,0,1,0,1,1,1,Two year,237.13445839869567,4.189654742026425
65,0,84.2,0,0,1,0,0,1,1,Two year,351.48340812521263,4.174387269895637
8,0,80.0,0,0,0,1,0,0,1,Month-to-month,166.35532333438687,0.0
4,1,70.15,0,0,0,1,0,0,1,Month-to-month,97.24854943256034,0.0
71,0,24.75,0,0,1,0,0,0,0,Two year,105.50132695677256,0.0
1,0,20.2,0,1,0,0,0,0,1,One year,0.0,0.0
4,1,50.05,0,0,0,0,0,1,0,Month-to-month,69.38403277405052,1.3862943611198906
12,0,19.35,0,1,0,0,0,0,1,One year,48.08294367339781,0.0
24,0,50.6,0,1,0,0,1,0,1,One year,160.80952381560607,0.0
31,0,81.15,0,1,0,0,1,1,1,One year,278.6680616439696,3.4339872044851463
1,1,55.2,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
30,0,89.9,0,0,0,1,0,1,1,Month-to-month,305.7676446114278,3.4011973816621555
47,0,85.3,0,0,1,0,1,1,1,Two year,328.41759042586796,3.8501476017100584
54,0,108.0,0,0,1,1,1,1,1,Two year,430.81027702894164,3.9889840465642745
50,0,93.5,0,0,0,1,1,1,1,Month-to-month,365.77415100753166,3.912023005428146
1,1,84.6,0,0,0,1,1,0,1,Month-to-month,0.0,0.0
72,0,20.25,0,0,1,0,0,0,0,Two year,86.60248891007512,0.0
29,0,25.15,0,0,0,0,0,0,0,Month-to-month,84.68749012415982,0.0
2,1,54.4,0,0,0,0,0,0,1,Month-to-month,37.70720662246102,0.0
10,0,29.6,0,0,1,0,0,1,1,Two year,68.15651875262377,2.302585092994046
18,0,73.15,0,0,0,1,0,0,1,Month-to-month,211.43069409010445,0.0
11,1,95.0,1,0,0,1,0,0,1,Month-to-month,227.80005091584522,0.0
16,0,19.75,0,0,1,0,0,0,0,Two year,54.75862726423568,0.0
72,0,86.6,0,0,1,0,0,1,0,Two year,370.3592859067904,4.276666119016055
72,0,109.2,0,0,1,1,0,1,0,Two year,467.01194019655327,4.276666119016055
41,0,74.7,0,1,0,0,1,1,1,One year,277.4038333828118,3.713572066704308
65,0,94.4,1,0,0,1,1,0,0,Month-to-month,394.06215827814816,0.0
13,0,54.8,1,0,0,0,0,0,1,Month-to-month,140.5592247888922,0.0
4,0,75.35,1,0,0,1,1,0,0,Month-to-month,104.45728011038375,0.0
41,0,65.0,0,1,0,0,0,0,0,One year,241.38218433578,0.0
15,1,74.4,1,0,0,1,0,0,1,Month-to-month,201.47893496200444,0.0
1,1,48.55,0,0,0,0,1,0,1,Month-to-month,0.0,0.0
42,0,99.0,0,1,0,1,1,0,1,One year,370.0292922100535,0.0
51,0,93.5,0,1,0,1,1,0,1,One year,367.62569665972444,0.0
2,1,70.4,0,0,0,1,0,0,0,Month-to-month,48.79756151142015,0.0
1,1,40.2,1,0,0,0,0,0,0,Month-to-month,0.0,0.0
32,0,83.7,0,1,0,0,0,1,0,One year,290.0820950643371,3.4657359027997265
10,0,19.85,0,0,0,0,0,0,1,Month-to-month,45.706314095931816,0.0
67,0,59.55,0,0,1,0,0,1,1,Two year,250.389445484732,4.204692619390966
61,0,115.1,0,0,1,1,1,1,0,Two year,473.1615817663481,4.110873864173311
50,0,114.35,0,1,0,1,1,1,0,One year,447.33983067070847,3.912023005428146
2,1,44.6,0,0,0,0,0,0,1,Month-to-month,30.91436425297356,0.0
29,0,45.0,1,0,0,0,1,0,1,Month-to-month,151.52831234939134,0.0
3,1,41.15,1,0,0,0,0,0,1,Month-to-month,45.207895678692715,0.0
13,1,106.9,1,0,0,1,0,0,1,Month-to-month,274.1930863126383,0.0
57,0,89.85,1,0,0,1,0,0,1,Month-to-month,363.2681564149343,0.0
31,0,49.85,0,0,1,0,1,1,1,Two year,171.18426214358453,3.4339872044851463
45,0,113.3,0,1,0,1,1,1,0,One year,431.2948600909772,3.8066624897703196
61,0,88.1,0,0,1,0,1,1,0,Two year,362.1679874336687,4.110873864173311
50,0,24.9,0,0,1,0,0,0,0,Two year,97.40937283516082,0.0
19,0,105.0,1,0,0,1,1,1,1,Month-to-month,309.1660928124762,2.9444389791664403
59,1,19.35,0,0,1,0,0,0,0,Two year,78.90034953957569,0.0
71,0,24.25,0,0,1,0,0,0,1,Two year,103.3699870182519,0.0
16,1,94.45,1,0,0,1,0,1,1,Month-to-month,261.87100481554734,2.772588722239781
57,0,59.75,0,0,1,0,1,1,1,Two year,241.57231325311437,4.04305126783455
1,1,24.8,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
20,0,107.05,1,0,0,1,0,1,0,Month-to-month,320.6931398839547,2.995732273553991
1,1,70.6,0,0,0,1,0,0,0,Month-to-month,0.0,0.0
5,1,85.4,0,0,0,1,0,1,1,Month-to-month,137.44599772187217,1.6094379124341003
52,1,105.05,0,0,0,1,0,0,1,Month-to-month,415.0781526369789,0.0
21,0,64.95,1,0,0,0,1,0,1,Month-to-month,197.74173233013633,0.0
14,0,55.0,0,0,0,0,0,1,1,Month-to-month,145.14815312883923,2.6390573296152584
5,0,50.55,0,0,0,0,0,0,0,Month-to-month,81.35708647354376,0.0
6,0,55.15,0,0,0,0,1,0,0,Month-to-month,98.81553472792723,0.0
10,0,51.2,0,0,0,0,0,0,0,Month-to-month,117.89235676129516,0.0
1,0,25.4,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
68,0,54.45,0,0,0,0,1,0,0,Month-to-month,229.75219454683904,0.0
18,1,95.15,0,0,0,1,0,0,0,Month-to-month,275.01887276382007,0.0
22,0,76.0,0,1,0,1,0,0,1,One year,234.91922645523204,0.0
20,0,44.35,0,0,0,0,0,0,1,Month-to-month,132.8607263321195,0.0
1,1,70.0,0,0,0,1,0,0,0,Month-to-month,0.0,0.0
8,1,74.5,1,0,0,1,0,0,1,Month-to-month,154.91839485514777,0.0
10,1,44.85,0,0,0,0,0,0,1,Month-to-month,103.27094142078296,0.0
24,1,76.1,1,0,0,1,0,0,1,Month-to-month,241.84989648947865,0.0
35,0,61.2,0,1,0,0,1,0,0,One year,217.5873013631521,0.0
23,0,86.8,0,1,0,1,0,1,0,One year,272.1608979426502,3.1354942159291497
6,0,89.35,1,0,0,1,0,0,1,Month-to-month,160.0937085755267,0.0
12,0,19.7,0,0,0,0,0,0,0,Month-to-month,48.9526610008236,0.0
1,0,20.25,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
71,0,76.05,0,0,1,1,0,0,0,Two year,324.176804648992,0.0
35,0,100.8,1,0,0,1,0,0,1,Month-to-month,358.37908459813286,0.0
40,0,74.55,0,0,0,0,0,0,1,Month-to-month,275.0059633041939,0.0
1,1,73.6,0,0,0,1,1,0,1,Month-to-month,0.0,0.0
23,0,64.9,0,1,0,0,0,0,1,One year,203.49357461380183,0.0
4,1,95.45,1,0,0,1,0,0,1,Month-to-month,132.32179676889356,0.0
4,0,90.4,0,0,0,1,0,1,1,Month-to-month,125.32101024523811,1.3862943611198906
68,0,60.3,0,0,1,0,0,1,0,Two year,254.43631462211923,4.219507705176107
38,0,81.85,0,0,0,1,0,0,1,Month-to-month,297.7364271736046,0.0
52,0,24.8,0,0,1,0,0,0,0,Two year,97.99084422081941,0.0
32,1,74.9,1,0,0,1,0,0,1,Month-to-month,259.58361911969956,0.0
29,0,75.55,0,0,1,0,0,1,0,Two year,254.3991999554781,3.367295829986474
38,0,101.15,1,0,0,1,0,0,0,Month-to-month,367.94184005632394,0.0
48,0,78.75,0,1,0,0,1,0,1,One year,304.8570796089964,0.0
1,0,19.25,0,0,0,0,0,0,1,Month-to-month,0.0,0.0
22,0,89.05,0,0,0,1,1,1,1,Month-to-month,275.257330471558,3.091042453358316
43,0,115.05,0,0,1,1,1,1,0,Two year,432.72607331054434,3.7612001156935624
5,0,69.35,1,0,0,1,0,0,1,Month-to-month,111.61451922730484,0.0
5,1,80.6,0,0,0,1,0,0,1,Month-to-month,129.72069574218847,0.0
51,0,110.05,0,1,0,1,1,1,0,One year,432.697410881312,3.9318256327243257
71,0,19.9,0,0,1,0,0,0,1,Two year,84.82732955312217,0.0
38,1,80.3,0,1,0,0,1,1,0,One year,292.0981686260288,3.6375861597263857
24,1,93.15,1,0,0,1,0,0,1,Month-to-month,296.0357142969112,0.0
35,0,91.5,0,0,0,1,0,1,1,Month-to-month,325.31434762628135,3.5553480614894135
54,1,82.45,1,1,0,0,1,1,0,One year,328.89173463922447,3.9889840465642745
72,0,60.0,0,0,1,0,0,1,1,Two year,256.5999671409633,4.276666119016055
1,0,44.8,0,0,0,0,0,0,1,Month-to-month,0.0,0.0
9,0,48.6,0,1,0,0,1,0,0,One year,106.78511445854028,0.0
69,0,60.05,0,0,1,0,1,1,1,Two year,254.25809560106543,4.23410650459726
52,0,102.7,0,0,0,1,0,1,1,Month-to-month,405.79272989831264,3.9512437185814275
11,0,82.9,1,0,0,1,0,1,1,Month-to-month,198.78551811498494,2.3978952727983707
2,1,70.35,1,0,0,1,0,0,1,Month-to-month,48.762904152392146,0.0
28,0,35.9,1,0,0,0,0,0,1,Month-to-month,119.62614191528981,0.0
17,0,82.65,1,0,0,1,0,0,1,Month-to-month,234.1650828862463,0.0
35,0,19.85,0,0,1,0,0,0,1,Two year,70.57365902056486,0.0
8,0,19.2,0,1,0,0,0,0,1,One year,39.92527760025285,0.0
46,0,94.9,0,1,0,1,0,0,1,One year,363.33806852681516,0.0
7,1,73.85,0,0,0,1,0,0,1,Month-to-month,143.70546450773486,0.0
2,1,80.6,0,0,0,1,0,0,0,Month-to-month,55.86766275313158,0.0
68,1,75.8,0,1,0,0,0,1,1,One year,319.83868405234887,4.219507705176107
43,1,104.6,0,0,1,1,0,0,1,Two year,393.42153210154663,0.0
68,0,88.15,0,0,1,0,1,1,1,Two year,371.9496042112739,4.219507705176107
36,0,94.8,0,0,0,1,0,0,1,Month-to-month,339.7175953656392,0.0
63,1,103.4,0,0,0,1,0,0,1,Month-to-month,428.4001307088845,0.0
