customerID,tenure_actual,Churn_actual,MonthlyCharges,Contract,RMST_months,CLV_discounted,Remaining_CLV
3170-NMYVV,50,0,20.15,Two year,26.541490444198345,433.891126029494,199.69734411482784
7410-OIEDU,10,0,79.85,Month-to-month,28.59220238097113,1835.9903102260178,1839.8075896338605
2273-QCKXA,1,0,49.05,Month-to-month,23.243377379101474,939.0576932867027,994.9894582891591
0731-EBJQB,52,0,20.4,One year,23.473232846690127,393.986474298737,170.48235074794243
1891-QRQSA,64,0,111.6,Two year,41.88702011614366,3580.748951010821,533.3870735702742
8028-PNXHQ,62,0,24.25,Two year,17.352603005601406,357.3326729659686,86.40609570360695
5630-AHZIL,3,0,64.5,Month-to-month,22.725485054714056,1210.3450447906944,1300.1680084680268
2673-CXQEU,56,0,110.5,One year,33.11396281966134,2889.834395172248,963.7166566123949
6416-JNVRK,46,0,55.65,One year,6.010183949173761,307.19622933914957,184.4507940297778
5590-ZSKRV,8,0,54.65,Month-to-month,41.35217315060269,1734.0597236787119,1682.5760648007554
0191-ZHSKZ,30,0,74.75,Month-to-month,15.89422542596115,1017.3787364477201,830.4771833432347
3887-PBQAO,45,0,25.9,One year,37.800669651364004,760.1907101681963,379.9054935443321
5919-TMRGD,1,1,79.35,Month-to-month,31.31469904514452,1976.170908368502,0.0
8108-UXRQN,11,0,50.55,Month-to-month,21.418361762446835,899.7891806850777,929.7352944098651
9191-MYQKX,7,1,75.15,Month-to-month,27.536715552149317,1671.624178703704,0.0
9919-YLNNG,42,0,103.8,Month-to-month,23.503932106869073,2007.0249860894207,1206.6476994850784
0318-ZOPWS,49,0,20.15,Two year,28.63722876680326,463.9506348312937,215.47447408262562
4445-ZJNMU,9,0,99.3,Month-to-month,36.76628257522485,2845.052024323319,2774.4537173262574
4808-YNLEU,35,0,62.15,One year,37.17624784048927,1797.9293377844654,1172.3807734497227
1862-QRWPE,48,0,20.65,Two year,9.304167876452615,171.82288263697004,93.22116934269043
2796-NNUFI,46,0,19.95,Two year,13.052252955850722,226.90645079452986,123.96441107940096
3016-KSVCP,29,0,33.75,Month-to-month,37.048610254895856,973.4323218309386,713.7905449914136
4767-HZZHQ,30,0,82.05,Month-to-month,30.082140657815174,1972.7036453756673,1460.4835647842656
2424-WVHPL,1,0,74.7,Month-to-month,8.187096938106997,551.6295281251064,654.3768752156511
7233-PAHHL,66,0,84.0,Two year,33.18685262725628,2201.022994095875,272.65756384137364
6067-NGCEU,65,0,111.05,Month-to-month,22.463471601701322,2062.4566174157853,257.2230855437733
9848-JQJTX,72,0,100.9,Two year,25.109232630965963,2068.685404159027,0.0
8637-XJIVR,12,1,78.95,Month-to-month,27.99656368808615,1781.9647502560738,0.0
9803-FTJCG,71,0,66.85,One year,21.552160197706154,1196.5609996154944,66.18811881188118
0278-YXOOG,5,1,21.05,Month-to-month,19.115316783896013,338.40706598986105,0.0
3212-KXOCR,52,0,21.0,Two year,22.089723786903832,384.2327734698532,168.2212525909097
4598-XLKNJ,25,1,98.5,Month-to-month,22.58018373904752,1837.8339322017753,0.0
6380-ARCEH,1,0,20.2,Month-to-month,18.95027547558512,322.222724346271,347.4562823522381
3679-XASPY,1,0,19.45,Month-to-month,32.99755980203844,507.0998059800732,523.6442898564718
7123-WQUHX,38,0,95.0,One year,27.004716156047415,2077.120763717149,1321.373426086583
5386-THSLQ,66,0,45.55,One year,42.69257458733287,1485.8069389465,180.7055204831809
3192-NQECA,68,1,110.0,Two year,16.403102297055405,1540.50745591117,0.0
6180-YBIQI,5,0,24.3,Month-to-month,40.23283078928179,752.9167133440102,755.3411812788665
6728-DKUCO,72,0,104.15,One year,52.21222725216579,4042.0294146736655,0.0
9750-BOOHV,32,0,30.15,One year,23.07526677995775,573.5058132112229,431.26867712834974
8597-CWYHH,43,0,94.35,One year,26.9347818322787,2058.194499731014,1193.6455209555493
2848-YXSMW,72,0,19.4,Two year,22.454687687533216,360.1776329714374,0.0
0486-HECZI,55,1,96.75,Month-to-month,35.3892007718044,2681.3391038266172,0.0
4549-ZDQYY,52,0,57.95,One year,7.27691954258394,383.1559788263892,207.61520455567347
5712-AHQNN,43,0,91.65,Month-to-month,41.423860289655735,2912.448460636914,1563.3798027787893
4846-WHAFZ,37,1,76.5,Month-to-month,19.12105331987015,1230.1718209936782,0.0
5256-SKJGO,64,0,54.6,Two year,22.324840942816657,1008.4736260046159,142.8925804496598
3071-VBYPO,3,0,89.85,Month-to-month,32.808534394813805,2330.8296345071376,2407.858388513569
9560-BBZXK,36,0,31.05,Two year,47.510257819293415,1110.8905823475325,685.9610022882276
5299-RULOA,10,1,100.25,Month-to-month,18.353551385772697,1553.800350250829,0.0
8402-OOOHJ,41,0,20.65,Two year,13.055033575303973,234.91390710743445,156.59057622482874
9445-ZUEQE,27,0,85.2,Month-to-month,28.371529538709044,1945.6911402905464,1543.513068546913
1091-SOZGA,56,0,99.8,One year,17.620779960032323,1491.0787680238088,568.7528115050178
2928-HLDBA,6,0,20.7,Month-to-month,38.1434891658487,612.3524893606408,610.5905821384074
0404-SWRVG,3,1,74.4,Month-to-month,50.50417216904068,2805.885077364232,0.0
6497-TILVL,7,0,50.7,Month-to-month,7.846920073930816,359.811262441335,460.27621102974524
7219-TLZHO,4,0,20.85,Month-to-month,32.796801187984826,540.7078488422911,557.8066964387359
4622-YNKIJ,33,0,88.95,Two year,18.46007342601419,1385.8562048511715,1043.2337648262962
4412-YLTKF,27,1,78.05,Month-to-month,24.578423947224955,1570.2019437482818,0.0
6734-PSBAW,72,0,23.55,Two year,22.09486228724763,430.97893859465813,0.0
3930-ZGWVE,1,0,19.75,Month-to-month,51.3727065910867,755.8649110709518,760.5789051681113
2639-UGMAZ,71,0,56.45,One year,29.803644503897786,1346.17256823144,55.89108910891089
2876-GZYZC,13,0,85.95,Month-to-month,20.14151063931109,1448.1006995304085,1494.7747594554921
6207-WIOLX,25,1,58.6,Month-to-month,22.456042221521347,1088.0176820427234,0.0
8587-XYZSF,67,0,50.55,Two year,20.39535816119823,861.2781295689476,72.96569240893334
3091-FYHKI,1,1,35.45,Month-to-month,11.55899725995372,360.6186241773535,0.0
2372-HWUHI,2,1,44.35,Month-to-month,19.232329620153827,716.9032633548193,0.0
7799-LGRDP,43,0,25.7,Two year,25.002755206928903,524.9308601723993,308.83360349790615
7850-VWJUU,23,0,75.0,Month-to-month,19.232367326323374,1212.3526354328767,1086.794260130238
3774-VBNXY,64,0,20.2,Two year,38.95374327711862,608.5741238735735,90.25264406840579
6217-KDYWC,57,0,19.6,Two year,20.666041329484422,337.90987782392915,120.0134081083164
0390-DCFDQ,1,1,70.45,Month-to-month,25.58616183081424,1468.643489235324,0.0
3146-MSEGF,72,0,88.05,Two year,39.87510394539055,2707.1034248252263,0.0
4080-OGPJL,8,1,71.15,Month-to-month,40.368172177224395,2210.9589161007802,0.0
1095-WGNGG,61,0,101.05,Two year,30.099807149238828,2430.7673355291786,595.9264827121324
2636-SJDOU,64,0,84.3,One year,22.39942604668577,1561.6712274805172,221.3379452348145
1131-QQZEB,71,0,23.95,Two year,39.48097908263379,730.0238523980402,23.712871287128714
5716-EZXZN,65,0,99.05,Two year,8.073981380769048,721.981829069153,78.41289280216816
6837-BJYDQ,3,0,19.6,One year,16.47809668543836,275.6260578831514,308.43666982744054
2135-RXIHG,1,1,45.65,Month-to-month,44.246050107929946,1535.8376710888026,0.0
6440-DKQGE,30,0,64.5,One year,41.13829683416908,2037.42546073637,1449.9375767885795
3466-BYAVD,15,0,69.5,Month-to-month,34.87703698968278,1901.8021407816807,1763.1313688720475
3780-YVMFA,8,0,68.55,Month-to-month,27.782097433731707,1536.78277574955,1562.5407860474475
3874-EQOEP,7,1,95.0,Month-to-month,35.1444029068378,2616.955394433103,0.0
1679-JRFBR,70,0,108.15,One year,32.28344941258547,2766.24031060107,154.97061432278548
9073-ZZIAY,62,0,86.1,Two year,22.30000229687885,1588.7091693534549,359.2622601870639
3077-RSNTJ,6,0,19.7,Month-to-month,50.58164954268684,743.9381809136058,721.4827227574449
6551-GNYDG,14,0,80.9,Month-to-month,32.44241164118027,2078.156772809077,1956.6838232596474
9167-APMXZ,22,0,84.15,Month-to-month,31.50962251683411,2107.1365963422923,1791.923381967183
2749-CTKAJ,22,0,20.15,One year,8.127490779264,147.7856303666615,166.5729605113352
6371-NZYEG,16,0,64.25,Two year,17.335774638782837,945.9186519943119,984.4561167157059
7554-NEWDD,10,0,25.7,Two year,27.68598410076151,574.3967576799863,578.2747896315803
8992-VONJD,13,0,56.0,Month-to-month,27.02069496122249,1225.0471900801663,1203.5860033147942
0867-MKZVY,20,1,82.4,Month-to-month,15.735248042642144,1111.3199902950655,0.0
4482-EWFMI,2,0,69.7,Month-to-month,29.247326703227923,1634.8587671611192,1707.726878510598
4648-YPBTM,53,0,73.9,Two year,23.159262174560055,1410.2561372271114,591.4343969842772
2907-ILJBN,11,0,20.6,One year,37.30793488618237,597.7706518621363,570.8263480824897
6345-FZOQH,69,0,19.9,Two year,43.84619455449497,664.2746613062346,46.45423858744271
3376-BMGFE,4,1,70.9,Month-to-month,8.848568920229974,562.9815543168259,0.0
5997-OPVFA,72,0,89.05,Two year,12.43409751143796,968.7589625864449,0.0
3445-HXXGF,58,1,45.3,Month-to-month,14.40344124613167,563.7513252793905,0.0
1159-WFSGR,16,0,20.4,Month-to-month,33.83246766404464,543.6077433468488,501.0852287665926
7654-YWJUF,43,0,84.25,One year,29.45369675153864,1988.3867851826612,1133.9274682602154
1875-QIVME,2,1,104.4,Month-to-month,42.23775227343795,3374.013385163976,0.0
6727-IOTLZ,14,0,81.95,Two year,19.811608154401807,1360.4298266568833,1383.5915082668605
0691-JVSYA,53,1,94.85,One year,39.95579818081177,2921.2898161121016,0.0
5918-VUKWP,32,0,20.55,One year,13.875714196715702,247.180088864698,204.76060879489916
1744-JHKYS,34,0,24.7,Month-to-month,14.628129029875737,311.75281902006094,237.78105138219794
2656-FMOKZ,15,1,74.45,Month-to-month,30.766776616203103,1825.6707198126305,0.0
2070-FNEXE,7,1,76.45,Month-to-month,40.492397044408996,2381.993617230902,0.0
5947-SGKCL,15,0,105.35,Month-to-month,16.012982684724896,1443.5662349730528,1536.8756539405358
3712-PKXZA,61,0,20.55,One year,48.437068390948006,747.5856551130099,164.46556830718836
6317-YPKDH,1,1,29.95,Month-to-month,23.858460223003632,586.848836024169,0.0
6582-OIVSP,1,0,45.3,Month-to-month,8.851762473053618,359.82578707707796,422.34439033725255
9367-WXLCH,8,1,84.5,Month-to-month,30.573583394262947,2060.7022054948548,0.0
5524-KHNJP,33,0,74.75,One year,24.934298948101482,1523.090090912609,1094.2500131945549
1918-ZBFQJ,13,1,79.25,Month-to-month,16.92071651992699,1141.4960929460303,0.0
1024-GUALD,1,1,24.8,Month-to-month,10.969372604644786,240.38506187127268,0.0
4827-USJHP,20,0,51.8,Month-to-month,36.8176853050052,1485.9315301592396,1273.5862640921107
8167-GJLRN,3,0,30.4,Month-to-month,46.0468995839064,1058.649690680629,1061.4922136673347
0956-SYCWG,13,0,19.65,One year,44.502993632438745,664.4182618860576,608.8639620859913
8017-UVSZU,40,0,56.6,Month-to-month,50.925707977009566,2149.927494877241,1198.981663864197
7100-FQPRV,43,0,71.9,One year,5.893048707633635,389.56775195014603,335.67597843717533
2472-OVKUP,6,1,91.0,Month-to-month,8.296037784157127,680.3592628310104,0.0
2984-RGEYA,69,0,19.75,Two year,32.42999409275367,507.1675199283638,38.70215527125482
9680-NIAUV,72,0,109.7,Two year,17.093142209127187,1594.6305883201362,0.0
2146-EGVDT,59,0,19.3,Two year,13.000787151460901,218.7205478567361,81.37000815275032
2604-IJPDU,20,0,96.55,Month-to-month,36.49712642363704,2748.625318465098,2358.7079863844315
9178-JHUVJ,24,0,24.1,Two year,20.312541461075867,409.12661333638715,362.0699723383736
6168-YBYNP,59,0,111.35,Month-to-month,37.12901609844566,3217.6690527921237,881.2018680158691
7255-SSFBC,72,0,112.25,Two year,39.08026483994345,3391.340790908158,0.0
3645-DEYGF,1,0,20.75,Month-to-month,27.101921468526506,455.12728537941194,476.51835937480865
9323-HGFWY,27,0,101.9,One year,29.024170453798522,2374.091666899776,1877.044863209863
8544-GOQSH,14,0,80.05,Month-to-month,17.95507591887887,1216.4341136065827,1259.051904215699
3363-DTIVD,71,0,105.55,Two year,41.5742058888834,3364.7083212447696,104.5049504950495
7018-WBJNK,13,0,78.3,Month-to-month,23.344472547558766,1504.8397440796514,1513.9932720195382
9142-KZXOP,44,0,68.85,Month-to-month,8.520118238331937,527.7389538174829,366.5786248729215
7674-YTAFD,33,0,79.95,One year,37.50366672402952,2330.5713073037937,1584.2019454685158
6348-SNFUS,72,0,55.45,Two year,22.308280561666802,1023.4965554641747,0.0
1285-OKIPP,1,1,79.9,Month-to-month,39.218024234227066,2421.3568760869452,0.0
7825-ECJRF,19,1,106.6,Month-to-month,18.29975306702667,1647.861409572481,0.0
1347-KTTTA,64,0,102.45,One year,4.942349130497648,469.62012548385576,61.08549945423352
7841-TZDMQ,2,1,46.0,Month-to-month,28.28281649168235,1047.5986134566629,0.0
4195-NZGTA,1,0,25.25,Month-to-month,38.06113638824922,745.549825908203,762.9119282637123
7157-SMCFK,61,0,19.75,Two year,37.90981803857129,581.1369995706444,134.75072026930053
4709-LKHYG,29,0,20.0,One year,19.316228504014234,324.55907884955195,260.4466458443449
2504-DSHIH,23,0,86.8,Month-to-month,33.538309743304254,2295.4228176701195,1891.989453907063
0699-NDKJM,57,0,58.75,Month-to-month,46.14591793695455,2049.709645450604,607.7215785026746
9286-BHDQG,72,0,45.25,Two year,18.590433107752396,709.4791293871125,0.0
0230-WEQUW,66,0,56.6,Two year,30.43038715162799,1374.6318092204974,171.1766813785952
2040-LDIWQ,65,0,84.2,Two year,37.95049900048629,2479.8672525720626,326.08010390959817
6496-JDSSB,8,0,80.0,Month-to-month,48.892397671824355,2933.8904760940486,2798.3269604045536
9408-SSNVZ,4,1,70.15,Month-to-month,30.56160670311141,1710.1607920138301,0.0
4443-EMBNA,71,0,24.75,Two year,41.051799572860034,780.3776962588586,24.504950495049506
6469-MRVET,1,0,20.2,One year,45.85764565141227,700.9467060548103,709.57990844683
0742-MOABM,4,1,50.05,Month-to-month,34.390050352876756,1352.8726336250215,0.0
5961-VUSRV,12,0,19.35,One year,19.709751720630045,319.74331218221147,331.9135672954043
6778-JFCMK,24,0,50.6,One year,19.756730545663167,837.9110268317252,745.2971153958716
6341-JVQGF,31,0,81.15,One year,10.617988942554716,763.2635432848111,661.8678734357627
2232-DMLXU,1,1,55.2,Month-to-month,29.318620599848174,1297.5252906538562,0.0
4811-JBUVU,30,0,89.9,Month-to-month,43.87054583760854,3002.360803548721,2120.357824662786
0945-TSONX,47,0,85.3,Two year,31.990951215601875,2164.4768448949226,1062.014842525341
2651-ZCBXV,54,0,108.0,Two year,27.312315460340674,2385.066551206053,921.6804171049536
3316-UWXUY,50,0,93.5,Month-to-month,32.36594277712399,2396.8715242779263,1062.9007737390564
8937-RDTHP,1,1,84.6,Month-to-month,5.6708075238587226,441.97145464441934,0.0
7083-MIOPC,72,0,20.25,Two year,23.452893055984056,390.7884144156462,0.0
1984-GPTEH,29,0,25.15,Month-to-month,16.71249377935788,358.2215020032104,294.38433833519287
1251-KRREG,2,1,54.4,Month-to-month,37.11707171753705,1571.551003350059,0.0
0621-JFHOL,10,0,29.6,Two year,42.57973353161461,963.3200265048098,916.5009455070235
9903-LYSAB,18,0,73.15,Month-to-month,24.46001710572651,1465.3377077059263,1389.7123899219637
0094-OIFMO,11,1,95.0,Month-to-month,25.010227407208724,1940.9194620738747,0.0
9227-UAQFT,16,0,19.75,Two year,29.297226752097576,463.9436564928864,437.5633233555477
7301-ABVAD,72,0,86.6,Two year,27.62027720749277,1931.4672447409412,0.0
6614-FHDBO,72,0,109.2,Two year,28.781905131951234,2525.4839585571494,0.0
7576-ASEJU,41,0,74.7,One year,37.58435073798567,2181.605327818659,1235.99783416544
9058-HRZSV,65,0,94.4,Month-to-month,40.060327630487954,2914.0284355218855,384.50010021436714
4522-AKYLR,13,0,54.8,Month-to-month,17.7657696216012,824.8204775073582,871.4061961841718
0221-WMXNQ,4,0,75.35,Month-to-month,39.99935044298803,2322.902998748044,2347.3639150724866
0303-UNCIP,41,0,65.0,One year,50.467998057895834,2449.864938044014,1333.7269381403164
9947-OTFQU,15,1,74.4,Month-to-month,44.33882846119088,2507.6339137487867,0.0
0322-YINQP,1,1,48.55,Month-to-month,36.79343642016999,1391.9039027496947,0.0
0959-WHOKV,42,0,99.0,One year,46.229246397967046,3459.3650643491965,1865.1429459551596
4075-JFPGR,51,0,93.5,One year,8.167790547428293,688.9363316072686,388.4026276751332
4629-NRXKX,2,1,70.4,Month-to-month,19.381080891482895,1145.889503538858,0.0
9514-JDSKI,1,1,40.2,Month-to-month,46.43703378617438,1410.1629173765027,0.0
3282-ZISZV,32,0,83.7,One year,48.00917916880543,3021.6913722210147,2041.0888616381048
3675-YDUPJ,10,0,19.85,Month-to-month,30.4542588965517,482.4243780496688,479.1417942610431
4111-BNXIF,67,0,59.55,Two year,34.00952580867087,1594.1039520121149,150.14422586434742
7017-VFHAY,61,0,115.1,Two year,24.85453878660462,2338.6064985635635,604.670155095509
6655-LHBYW,50,0,114.35,One year,5.988189227160996,629.0412104395809,392.3528032392802
4959-JOSRX,2,1,44.6,Month-to-month,27.53445981314009,992.0033946883066,0.0
5046-NUHWD,29,0,45.0,Month-to-month,38.11509283418762,1330.3396835598703,972.1570563086941
7273-TEFQD,3,1,41.15,Month-to-month,15.764609414915672,555.924991628685,0.0
3606-TWKGI,13,1,106.9,Month-to-month,18.305979473909115,1653.004956506579,0.0
7529-ZDFXI,57,0,89.85,Month-to-month,34.68531650325688,2446.8675455625284,769.8240932583828
7605-BDWDC,31,0,49.85,Two year,14.622037962691838,628.9467668075927,512.0013101967102
1950-KSVVJ,45,0,113.3,One year,29.521550307994023,2679.408274831958,1380.7984458330525
0123-CRBRT,61,0,88.1,Two year,48.17176004159593,3189.8282022728695,702.5458393199306
6292-TOSSS,50,0,24.9,Two year,6.0167692309934715,137.59428059197623,85.72896726958282
3197-ARFOY,19,0,105.0,Month-to-month,28.70016727550736,2422.2826175286286,2190.8321450801054
6323-AYBRX,59,1,19.35,Two year,46.83623653167494,683.8079665671174,0.0
7014-ZZXAW,71,0,24.25,Two year,36.44447130333076,689.491817150682,24.00990099009901
4385-GZQXV,16,1,94.45,Month-to-month,16.670843317079786,1342.2565664674453,0.0
7633-MVPUY,57,0,59.75,Two year,26.058387285287857,1265.8900843713395,424.84401739512367
6366-ZGQGL,1,1,24.8,Month-to-month,42.57855921804283,807.086695822195,0.0
4716-HHKQH,20,0,107.05,Month-to-month,26.342854092117214,2289.871193711701,2064.1409378631865
5940-AHUHD,1,1,70.6,Month-to-month,18.59823205154509,1107.361831522299,0.0
6432-TWQLB,5,1,85.4,Month-to-month,27.168846489477968,1877.2297781060017,0.0
4484-GLZOU,52,1,105.05,Month-to-month,6.041861016954499,582.7848888315366,0.0
3179-GBRWV,21,0,64.95,Month-to-month,18.103212622713563,994.3073134822268,934.8215361958548
8645-KWHJO,14,0,55.0,Month-to-month,12.66110137398546,608.3519843267281,674.2666741319061
4130-MZLCC,5,0,50.55,Month-to-month,23.134050936648343,963.7272875663087,1034.5625893866002
0314-TKOSI,6,0,55.15,Month-to-month,50.6516061799508,2085.1310669524337,2021.9360451358987
8229-MYEJZ,10,0,51.2,Month-to-month,26.51898033333685,1101.666883646247,1116.1524380244957
2080-SRCDE,1,0,25.4,Month-to-month,30.222335020178193,613.1818533284574,636.9828679003296
9577-WJVCQ,68,0,54.45,Month-to-month,48.44960027880338,1981.2712125597754,158.7735854918004
9512-UIBFX,18,1,95.15,Month-to-month,28.8082585521601,2202.319735246495,0.0
6202-DYYFX,22,0,76.0,One year,20.924443717872194,1324.9000347963783,1204.8724966447865
3808-HFKDE,20,0,44.35,Month-to-month,8.66903034004163,345.4898947532323,395.30714377791253
5583-SXDAG,1,1,70.0,Month-to-month,18.08699170130288,1070.752049475137,0.0
3488-PGMQJ,8,1,74.5,Month-to-month,23.226544795117817,1425.3773822144517,0.0
3580-REOAC,10,1,44.85,Month-to-month,51.5388572172075,1721.263993354281,0.0
7534-BFESC,24,1,76.1,Month-to-month,13.956898417141733,920.2361911921498,0.0
3727-OWVYD,35,0,61.2,One year,50.0642411371701,2290.729175447984,1440.2119034726968
2294-SALNE,23,0,86.8,One year,45.05994928986817,2966.6622569681253,2356.746153295698
4847-TAJYI,6,0,89.35,Month-to-month,49.05611849325234,3286.2492152655605,3196.085630258224
1563-IWQEX,12,0,19.7,Month-to-month,16.829090243681012,282.3643953879108,301.3801426066701
8203-XJZRC,1,0,20.25,Month-to-month,33.904314337716244,540.6111468939616,557.2542260550176
6556-DBKZF,71,0,76.05,Two year,29.293905638399213,1786.2987294899979,75.29702970297029
6851-WEFYX,35,0,100.8,Month-to-month,34.611871603585584,2739.995136057782,1803.0321516625668
2985-JUUBZ,40,0,74.55,Month-to-month,42.628587941749345,2428.6095407132184,1385.9468741096662
6390-DSAZX,1,1,73.6,Month-to-month,31.164037370674837,1825.239934452373,0.0
0895-LMRSF,23,0,64.9,One year,37.52357393364083,1892.7316866559884,1537.5571915928276
8098-LLAZX,4,1,95.45,Month-to-month,8.79469302708342,753.6156904708444,0.0
8266-VBFQL,4,0,90.4,Month-to-month,5.313018368242934,443.9220301778337,630.0459375178771
